osm_id,name,latitude,longitude,city,state,country,address,description,wikidata,tags
2317901770,Gandhi Circle,15.4520745,75.301385,,Karnataka,India,,,,"{'historic': 'memorial', 'name': 'Gandhi Circle', 'name:kn': 'ಗಾಂಧಿ ವೃತ್ತ'}"
2345814949,Kudroli Temple Entrance arch,12.876607,74.8332695,Mangaluru,Karnataka,India,,,,"{'barrier': 'gate', 'name': 'Kudroli Temple Entrance arch', 'tourism': 'attraction'}"
2405825779,Pigeon Hole,12.9480567,77.5879713,Bengaluru,Karnataka,India,,,,"{'attraction': 'pigeon_hole', 'name': 'Pigeon Hole', 'name:kn': 'ಪಾರಿವಾಳದ ಗೂಡು', 'tourism': 'attraction'}"
2424154985,Tippu Drop,13.3681232,77.681081,,Karnataka,India,,,,"{'name': 'Tippu Drop', 'tourism': 'attraction'}"
2429395318,Temple,15.2824581,76.5270831,Hosapete,Karnataka,India,,,,"{'historic': 'monument', 'name': 'Temple', 'name:kn': 'ದೇವಸ್ಥಾನ'}"
2458030293,Sri Durga Parameshwari Temple,14.0133937,74.5576939,,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'name': 'Sri Durga Parameshwari Temple', 'name:kn': 'ಶ್ರೀ ದುರ್ಗ ಪರಮೇಶ್ವರಿ ದೇವಾಲಯ', 'religion': 'hindu', 'tourism': 'attraction'}"
2481012812,Mahatma Gandhi Statue,14.2201451,74.7994256,,Karnataka,India,,,,"{'historic': 'monument', 'name': 'Mahatma Gandhi Statue', 'name:kn': 'ಮಹಾತ್ಮ ಗಾಂಧಿ ಪ್ರತಿಮ'}"
2514790709,Maliyabad Fort,16.150635,77.3563071,Raichur,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Maliyabad Fort', 'name:kn': 'ಮಲಿಯಬಾದ್ ಕೊಟೆ'}"
2516504210,Mudgal Fort Eastern Entrance,16.0106495,76.4394824,,Karnataka,India,,,,"{'name': 'Mudgal Fort Eastern Entrance', 'tourism': 'attraction'}"
2544809428,Battle of Talikote,16.1948087,76.1916898,,Karnataka,India,,"Approximate location, the battle was spread over a wide area, nowhere near Talikote",,"{'alt_name': 'Battle of Rakshasi - Tangadagi', 'historic': 'battlefield', 'name': 'Battle of Talikote', 'name:kn': 'ತಾಳೀಕೋಟೆಯ ಯುದ್ಧ', 'note': 'Approximate location, the battle was spread over a wide area, nowhere near Talikote'}"
2586797602,Ganesha Idol,12.9002658,77.4671585,Bengaluru,Karnataka,India,,,,"{'artwork_type': 'statue', 'name': 'Ganesha Idol', 'name:kn': 'ಗಣೇಶ ಮೂರ್ತಿ', 'tourism': 'attraction'}"
2619352530,Jamalabad Fort,13.0273698,75.2958407,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Jamalabad Fort', 'name:kn': 'ಜಮಲಾಬಾದ್ ಕೋಟೆ', 'tourism': 'attraction'}"
2632504991,Waterfall,14.060003,74.6955494,,Karnataka,India,,,,"{'name': 'Waterfall', 'name:kn': 'ಜಲಪಾತ', 'tourism': 'attraction'}"
2661160883,Guledagudda Fort,16.0509244,75.7789386,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Guledagudda Fort', 'name:kn': 'ಗುಲೆದಗುದ್ದ ಕೋಟೆ'}"
2672617428,Gurumathakal Fort,16.8696802,77.3936575,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Gurumathakal Fort', 'name:kn': 'ಗುರುಮಠಕಲ್ ಕೋಟೆ'}"
2713086867,Chikkigudi,16.0221567,75.88029,,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'historic': 'yes', 'name': 'Chikkigudi', 'name:kn': 'ಚಿಕ್ಕಿಗುಡಿ', 'religion': 'hindu'}"
2764725516,Rangapura Fort,15.9364133,76.4609684,,Karnataka,India,,,,"{'historic': 'ruins', 'name': 'Rangapura Fort'}"
2786019781,War Memorial,12.9857827,77.5905553,Bengaluru,Karnataka,India,,,,"{'historic': 'memorial', 'name': 'War Memorial'}"
2805656880,Mudakavi Fort,15.9698505,75.3812412,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Mudakavi Fort', 'name:kn': 'ಮುದಕವಿ ಕೋಟೆ', 'tourism': 'attraction'}"
2831394810,Triveni Samgama,12.4078042,76.7214697,,Karnataka,India,,,,"{'name': 'Triveni Samgama', 'name:kn': 'ತ್ರಿವೇಣಿ ಸಂಗಮ', 'tourism': 'attraction'}"
2905324761,Gudekote,14.8332103,76.6210864,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Gudekote', 'name:kn': 'ಗುಡೇಕೋಟೆ'}"
2910306405,Kempegowda Tower,13.0124266,77.582456,Bengaluru,Karnataka,India,,,,"{'historic': 'monument', 'name': 'Kempegowda Tower', 'name:kn': 'ಕೆಂಪೇಗೌಡ ಗೋಪುರ'}"
2939032222,Sri Rama Temple Hulimavu,12.8779083,77.6025132,Bengaluru,Karnataka,India,,"The Anjenya (Hanuman) idol is special. This is a very old temple, and the annual Chariot festival is a big event.",,"{'amenity': 'place_of_worship', 'historic': 'yes', 'name': 'Sri Rama Temple Hulimavu', 'name:kn': 'ಶ್ರೀ ರಾಮ ದೇವಸ್ಥಾನ ಹುಳಿಮಾವು', 'note': 'The Anjenya (Hanuman) idol is special. This is a very old temple, and the annual Chariot festival is a big event.', 'religion': 'hindu'}"
2980669591,Kanakuppe Fort,14.5518356,76.2860215,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Kanakuppe Fort', 'name:kn': 'ಕಣಕುಪ್ಪೆ ಕೋಟೆ'}"
2999617616,Vijayant Tank,12.9621165,77.6286126,Bengaluru,Karnataka,India,,,,"{'historic': 'memorial', 'name': 'Vijayant Tank'}"
